N,Team,Season,GP,W,L,T,OT,P,ROW,P_Shr,GF,GA,S_O_Win,GF_GP,GA_GP,PP_Shr,PK_Shr,Shots_GP,SA_GP,FOW_Shr
104,Montréal Canadiens,1972-73,17,12,5,0,0,0,0,.000,73,52,0,4.29,3.06,--,--,32.3,31.9,--
105,Chicago Blackhawks,1991-92,18,12,6,0,0,0,0,.000,65,48,0,3.61,2.67,16.7,85.5,31.9,26.1,0.0
106,Boston Bruins,1987-88,22,12,10,0,0,0,0,.000,82,69,0,3.73,3.14,15.2,81.8,27.7,26.2,0.0
107,New York Islanders,1983-84,21,12,9,0,0,0,0,.000,62,60,0,2.95,2.86,15.8,82.2,25.8,28.5,--
108,Boston Bruins,1971-72,15,12,3,0,0,0,0,.000,64,34,0,4.27,2.27,--,--,32.9,30.1,--
109,Montréal Canadiens,1977-78,15,12,3,0,0,0,0,.000,58,29,0,3.87,1.93,25.9,89.3,30.9,24.1,--
110,Washington Capitals,1997-98,21,12,9,0,0,0,0,.000,53,44,0,2.52,2.10,16.7,87.0,25.2,35.2,52.3
111,New Jersey Devils,1993-94,20,11,9,0,0,0,0,.000,52,49,0,2.60,2.45,17.3,87.1,32.0,32.2,0.0
112,New Jersey Devils,1987-88,20,11,9,0,0,0,0,.000,67,71,0,3.35,3.55,19.7,82.8,26.6,31.6,0.0
113,New York Rangers,2014-15,19,11,8,0,0,0,0,.000,45,41,0,2.37,2.16,21.0,80.0,30.9,30.0,46.5
114,Chicago Blackhawks,2013-14,19,11,8,0,0,0,0,.000,58,55,0,3.05,2.89,21.1,84.6,27.9,31.2,49.6
115,Tampa Bay Lightning,2010-11,18,11,7,0,0,0,0,.000,59,45,0,3.28,2.50,25.4,92.3,28.9,32.8,49.5
116,Colorado Avalanche,1999-00,17,11,6,0,0,0,0,.000,43,32,0,2.53,1.88,17.4,82.3,29.4,25.4,49.6
117,Ottawa Senators,2002-03,18,11,7,0,0,0,0,.000,43,34,0,2.39,1.89,14.8,91.8,27.4,24.9,48.7
118,Philadelphia Flyers,1999-00,18,11,7,0,0,0,0,.000,44,40,0,2.44,2.22,21.7,86.2,31.5,26.9,52.6
119,New York Rangers,1978-79,18,11,7,0,0,0,0,.000,66,42,0,3.67,2.33,19.4,88.0,28.2,29.7,--
120,Anaheim Ducks,2014-15,16,11,5,0,0,0,0,.000,57,42,0,3.56,2.63,26.7,84.2,35.6,29.6,52.7
121,Edmonton Oilers,1982-83,16,11,5,0,0,0,0,.000,80,50,0,5.00,3.13,19.4,75.7,32.4,29.2,--
122,Chicago Blackhawks,1970-71,18,11,7,0,0,0,0,.000,59,42,0,3.28,2.33,--,--,30.8,32.3,--
123,Buffalo Sabres,2005-06,18,11,7,0,0,0,0,.000,60,49,0,3.33,2.72,16.2,82.6,28.1,29.1,47.7
124,Philadelphia Flyers,2003-04,18,11,7,0,0,0,0,.000,50,43,0,2.78,2.39,13.1,80.3,26.8,28.2,51.1
125,Colorado Avalanche,1998-99,19,11,8,0,0,0,0,.000,56,54,0,2.95,2.84,14.6,82.1,31.1,34.6,48.2
126,Pittsburgh Penguins,1995-96,18,11,7,0,0,0,0,.000,57,52,0,3.17,2.89,16.0,85.4,31.9,37.1,0.0
